2019-04-11,0.0,4285.0,35.0,105.0,436.0,0.0,0.0,2.0,0.0
2019-04-12,0.0,4285.0,35.0,105.0,436.0,0.0,0.0,2.0,0.0
2019-04-13,0.0,4285.0,35.0,105.0,436.0,0.0,0.0,2.0,0.0
2019-04-14,0.0,4285.0,35.0,105.0,436.0,0.0,0.0,2.0,0.0
2019-04-15,2.0,4287.0,36.0,105.0,437.0,3.0,2.0,1.5,1.0
2019-04-16,0.0,4287.0,36.0,105.0,437.0,0.0,0.0,1.5,0.0
2019-04-17,1.0,4288.0,36.0,105.0,437.0,2.0,2.0,2.0,1.0
2019-04-18,0.0,4288.0,36.0,105.0,437.0,0.0,0.0,2.0,0.0
2019-04-19,0.0,4288.0,36.0,105.0,437.0,0.0,0.0,2.0,0.0
2019-04-20,0.0,4288.0,36.0,105.0,437.0,0.0,0.0,2.0,0.0
2019-04-21,0.0,4288.0,36.0,105.0,437.0,0.0,0.0,2.0,0.0
2019-04-22,0.0,4288.0,36.0,105.0,437.0,0.0,0.0,2.0,0.0
2019-04-23,1.0,4289.0,36.0,105.0,437.0,1.0,1.0,1.0,1.0
2019-04-24,0.0,4289.0,36.0,105.0,437.0,0.0,0.0,1.0,0.0
2019-04-25,0.0,4289.0,36.0,105.0,437.0,0.0,0.0,1.0,0.0
2019-04-26,0.0,4289.0,36.0,105.0,437.0,0.0,0.0,1.0,0.0
2019-04-27,0.0,4289.0,36.0,105.0,437.0,0.0,0.0,1.0,0.0
2019-04-28,0.0,4289.0,36.0,105.0,437.0,0.0,0.0,1.0,0.0
2019-04-29,0.0,4289.0,36.0,105.0,437.0,0.0,0.0,1.0,0.0
2019-04-30,0.0,4289.0,36.0,105.0,437.0,0.0,0.0,1.0,0.0
2019-05-01,0.0,4289.0,36.0,105.0,437.0,0.0,0.0,1.0,0.0
2019-05-02,0.0,4289.0,36.0,105.0,437.0,0.0,0.0,1.0,0.0
2019-05-03,1.0,4290.0,36.0,105.0,437.0,1.0,1.0,1.0,1.0
2019-05-04,0.0,4290.0,36.0,105.0,437.0,0.0,0.0,1.0,0.0
2019-05-05,0.0,4290.0,36.0,105.0,437.0,0.0,0.0,1.0,0.0
2019-05-06,0.0,4290.0,36.0,105.0,437.0,0.0,0.0,1.0,0.0
2019-05-07,0.0,4290.0,36.0,105.0,437.0,0.0,0.0,1.0,0.0
2019-05-08,0.0,4290.0,36.0,105.0,437.0,0.0,0.0,1.0,0.0
2019-05-09,0.0,4290.0,36.0,105.0,437.0,0.0,0.0,1.0,0.0
2019-05-10,0.0,4290.0,36.0,105.0,437.0,0.0,0.0,1.0,0.0
2019-05-11,0.0,4290.0,36.0,105.0,437.0,0.0,0.0,1.0,0.0
2019-05-12,0.0,4290.0,36.0,105.0,437.0,0.0,0.0,1.0,0.0
2019-05-13,0.0,4290.0,36.0,105.0,437.0,0.0,0.0,1.0,0.0
2019-05-14,1.0,4291.0,36.0,105.0,437.0,4.0,2.0,4.0,1.0
2019-05-15,0.0,4291.0,36.0,105.0,437.0,0.0,0.0,4.0,0.0
2019-05-16,0.0,4291.0,36.0,105.0,437.0,0.0,0.0,4.0,0.0
2019-05-17,0.0,4291.0,36.0,105.0,437.0,0.0,0.0,4.0,0.0
2019-05-18,0.0,4291.0,36.0,105.0,437.0,0.0,0.0,4.0,0.0
2019-05-19,0.0,4291.0,36.0,105.0,437.0,0.0,0.0,4.0,0.0
2019-05-20,2.0,4293.0,37.0,106.0,438.0,4.0,2.0,2.0,1.0
2019-05-21,2.0,4295.0,38.0,107.0,439.0,3.0,2.0,1.5,1.0
2019-05-22,0.0,4295.0,38.0,107.0,439.0,0.0,0.0,1.5,0.0
2019-05-23,1.0,4296.0,38.0,107.0,439.0,1.0,1.0,1.0,1.0
2019-05-24,1.0,4297.0,38.0,106.0,439.0,2.0,2.0,2.0,1.0
2019-05-25,0.0,4297.0,38.0,106.0,439.0,0.0,0.0,2.0,0.0
2019-05-26,0.0,4297.0,38.0,106.0,439.0,0.0,0.0,2.0,0.0
2019-05-27,0.0,4297.0,38.0,106.0,439.0,0.0,0.0,2.0,0.0
2019-05-28,0.0,4297.0,38.0,106.0,439.0,0.0,0.0,2.0,0.0
2019-05-29,0.0,4297.0,38.0,106.0,439.0,0.0,0.0,2.0,0.0
2019-05-30,0.0,4297.0,38.0,106.0,439.0,0.0,0.0,2.0,0.0
2019-05-31,1.0,4298.0,38.0,106.0,439.0,1.0,1.0,1.0,1.0
2019-06-01,0.0,4298.0,38.0,106.0,439.0,0.0,0.0,1.0,0.0
2019-06-02,0.0,4298.0,38.0,106.0,439.0,0.0,0.0,1.0,0.0
2019-06-03,1.0,4299.0,38.0,105.0,439.0,2.0,2.0,2.0,1.0
2019-06-04,1.0,4300.0,38.0,105.0,439.0,2.0,1.0,2.0,1.0
2019-06-05,0.0,4300.0,38.0,105.0,439.0,0.0,0.0,2.0,0.0
2019-06-06,0.0,4300.0,38.0,105.0,439.0,0.0,0.0,2.0,0.0
2019-06-07,0.0,4300.0,38.0,105.0,439.0,0.0,0.0,2.0,0.0
2019-06-08,0.0,4300.0,38.0,105.0,439.0,0.0,0.0,2.0,0.0
2019-06-09,0.0,4300.0,38.0,105.0,439.0,0.0,0.0,2.0,0.0
2019-06-10,1.0,4301.0,38.0,105.0,439.0,2.0,1.0,2.0,1.0
2019-06-11,0.0,4301.0,38.0,105.0,439.0,0.0,0.0,2.0,0.0
2019-06-12,0.0,4301.0,38.0,105.0,439.0,0.0,0.0,2.0,0.0
2019-06-13,1.0,4302.0,38.0,104.0,439.0,1.0,1.0,1.0,1.0
2019-06-14,0.0,4302.0,38.0,104.0,439.0,0.0,0.0,1.0,0.0
2019-06-15,0.0,4302.0,38.0,104.0,439.0,0.0,0.0,1.0,0.0
2019-06-16,0.0,4302.0,38.0,104.0,439.0,0.0,0.0,1.0,0.0
2019-06-17,0.0,4302.0,38.0,104.0,439.0,0.0,0.0,1.0,0.0
2019-06-18,0.0,4302.0,38.0,104.0,439.0,0.0,0.0,1.0,0.0
2019-06-19,0.0,4302.0,38.0,104.0,439.0,0.0,0.0,1.0,0.0
2019-06-20,0.0,4302.0,38.0,104.0,439.0,0.0,0.0,1.0,0.0
2019-06-21,0.0,4302.0,38.0,104.0,439.0,0.0,0.0,1.0,0.0
2019-06-22,0.0,4302.0,38.0,104.0,439.0,0.0,0.0,1.0,0.0
2019-06-23,0.0,4302.0,38.0,104.0,439.0,0.0,0.0,1.0,0.0
2019-06-24,1.0,4303.0,38.0,104.0,439.0,4.0,2.0,4.0,1.0
2019-06-25,0.0,4303.0,38.0,104.0,439.0,0.0,0.0,4.0,0.0
2019-06-26,0.0,4303.0,38.0,104.0,439.0,0.0,0.0,4.0,0.0
2019-06-27,1.0,4304.0,38.0,104.0,439.0,1.0,1.0,1.0,1.0
2019-06-28,0.0,4304.0,38.0,104.0,439.0,0.0,0.0,1.0,0.0
2019-06-29,0.0,4304.0,38.0,104.0,439.0,0.0,0.0,1.0,0.0
2019-06-30,0.0,4304.0,38.0,104.0,439.0,0.0,0.0,1.0,0.0
2019-07-01,0.0,4304.0,38.0,104.0,439.0,0.0,0.0,1.0,0.0
2019-07-02,0.0,4304.0,38.0,104.0,439.0,0.0,0.0,1.0,0.0
2019-07-03,1.0,4305.0,38.0,104.0,439.0,1.0,1.0,1.0,1.0
2019-07-04,0.0,4305.0,38.0,104.0,439.0,0.0,0.0,1.0,0.0
2019-07-05,0.0,4305.0,38.0,104.0,439.0,0.0,0.0,1.0,0.0
2019-07-06,0.0,4305.0,38.0,104.0,439.0,0.0,0.0,1.0,0.0
2019-07-07,0.0,4305.0,38.0,104.0,439.0,0.0,0.0,1.0,0.0
2019-07-08,0.0,4305.0,38.0,104.0,439.0,0.0,0.0,1.0,0.0
2019-07-09,1.0,4306.0,38.0,104.0,439.0,3.0,2.0,3.0,1.0
2019-07-10,0.0,4306.0,38.0,104.0,439.0,0.0,0.0,3.0,0.0
2019-07-11,0.0,4306.0,38.0,104.0,439.0,0.0,0.0,3.0,0.0
2019-07-12,0.0,4306.0,38.0,104.0,439.0,0.0,0.0,3.0,0.0
2019-07-13,0.0,4306.0,38.0,104.0,439.0,0.0,0.0,3.0,0.0
2019-07-14,0.0,4306.0,38.0,104.0,439.0,0.0,0.0,3.0,0.0
2019-07-15,0.0,4306.0,38.0,104.0,439.0,0.0,0.0,3.0,0.0
2019-07-16,0.0,4306.0,38.0,104.0,439.0,0.0,0.0,3.0,0.0
2019-07-17,0.0,4306.0,38.0,104.0,439.0,0.0,0.0,3.0,0.0
2019-07-18,0.0,4306.0,38.0,104.0,439.0,0.0,0.0,3.0,0.0
2019-07-19,0.0,4306.0,38.0,104.0,439.0,0.0,0.0,3.0,0.0
2019-07-20,0.0,4306.0,38.0,104.0,439.0,0.0,0.0,3.0,0.0
2019-07-21,0.0,4306.0,38.0,104.0,439.0,0.0,0.0,3.0,0.0
2019-07-22,0.0,4306.0,38.0,104.0,439.0,0.0,0.0,3.0,0.0
2019-07-23,0.0,4306.0,38.0,104.0,439.0,0.0,0.0,3.0,0.0
2019-07-24,0.0,4306.0,38.0,104.0,439.0,0.0,0.0,3.0,0.0
2019-07-25,1.0,4307.0,38.0,104.0,439.0,2.0,2.0,2.0,1.0
2019-07-26,0.0,4307.0,38.0,104.0,439.0,0.0,0.0,2.0,0.0
2019-07-27,0.0,4307.0,38.0,104.0,439.0,0.0,0.0,2.0,0.0
2019-07-28,0.0,4307.0,38.0,104.0,439.0,0.0,0.0,2.0,0.0
2019-07-29,0.0,4307.0,38.0,104.0,439.0,0.0,0.0,2.0,0.0
2019-07-30,0.0,4307.0,38.0,104.0,439.0,0.0,0.0,2.0,0.0
2019-07-31,0.0,4307.0,38.0,104.0,439.0,0.0,0.0,2.0,0.0
2019-08-01,0.0,4307.0,38.0,104.0,439.0,0.0,0.0,2.0,0.0
2019-08-02,0.0,4307.0,38.0,104.0,439.0,0.0,0.0,2.0,0.0
2019-08-03,0.0,4307.0,38.0,104.0,439.0,0.0,0.0,2.0,0.0
2019-08-04,0.0,4307.0,38.0,104.0,439.0,0.0,0.0,2.0,0.0
2019-08-05,0.0,4307.0,38.0,104.0,439.0,0.0,0.0,2.0,0.0
2019-08-06,0.0,4307.0,38.0,104.0,439.0,0.0,0.0,2.0,0.0
2019-08-07,1.0,4308.0,38.0,104.0,438.0,3.0,2.0,3.0,1.0
2019-08-08,4.0,4312.0,39.0,107.0,441.0,8.0,3.0,2.0,1.0
2019-08-09,1.0,4313.0,39.0,106.0,441.0,2.0,2.0,2.0,1.0
2019-08-10,0.0,4313.0,39.0,106.0,441.0,0.0,0.0,2.0,0.0
2019-08-11,0.0,4313.0,39.0,106.0,441.0,0.0,0.0,2.0,0.0
2019-08-12,0.0,4313.0,39.0,106.0,441.0,0.0,0.0,2.0,0.0
2019-08-13,1.0,4314.0,39.0,106.0,440.0,3.0,2.0,3.0,1.0
2019-08-14,0.0,4314.0,39.0,106.0,440.0,0.0,0.0,3.0,0.0
2019-08-15,1.0,4315.0,36.0,106.0,440.0,3.0,2.0,3.0,1.0
2019-08-16,0.0,4315.0,36.0,106.0,440.0,0.0,0.0,3.0,0.0
2019-08-17,0.0,4315.0,36.0,106.0,440.0,0.0,0.0,3.0,0.0
2019-08-18,0.0,4315.0,36.0,106.0,440.0,0.0,0.0,3.0,0.0
2019-08-19,0.0,4315.0,36.0,106.0,440.0,0.0,0.0,3.0,0.0
2019-08-20,0.0,4315.0,36.0,106.0,440.0,0.0,0.0,3.0,0.0
2019-08-21,1.0,4316.0,36.0,106.0,440.0,2.0,1.0,2.0,1.0
2019-08-22,0.0,4316.0,36.0,106.0,440.0,0.0,0.0,2.0,0.0
2019-08-23,0.0,4316.0,36.0,106.0,440.0,0.0,0.0,2.0,0.0
2019-08-24,0.0,4316.0,36.0,106.0,440.0,0.0,0.0,2.0,0.0
2019-08-25,0.0,4316.0,36.0,106.0,440.0,0.0,0.0,2.0,0.0
2019-08-26,0.0,4316.0,36.0,106.0,440.0,0.0,0.0,2.0,0.0
2019-08-27,0.0,4316.0,36.0,106.0,440.0,0.0,0.0,2.0,0.0
2019-08-28,1.0,4317.0,36.0,106.0,440.0,2.0,2.0,2.0,1.0
2019-08-29,1.0,4318.0,36.0,106.0,440.0,3.0,2.0,3.0,1.0
2019-08-30,0.0,4318.0,36.0,106.0,440.0,0.0,0.0,3.0,0.0
2019-08-31,0.0,4318.0,36.0,106.0,440.0,0.0,0.0,3.0,0.0
2019-09-01,0.0,4318.0,36.0,106.0,440.0,0.0,0.0,3.0,0.0
2019-09-02,0.0,4318.0,36.0,106.0,440.0,0.0,0.0,3.0,0.0
2019-09-03,0.0,4318.0,36.0,106.0,440.0,0.0,0.0,3.0,0.0
2019-09-04,0.0,4318.0,36.0,106.0,440.0,0.0,0.0,3.0,0.0
2019-09-05,1.0,4319.0,36.0,105.0,440.0,2.0,2.0,2.0,1.0
2019-09-06,0.0,4319.0,36.0,105.0,440.0,0.0,0.0,2.0,0.0
2019-09-07,0.0,4319.0,36.0,105.0,440.0,0.0,0.0,2.0,0.0
2019-09-08,0.0,4319.0,36.0,105.0,440.0,0.0,0.0,2.0,0.0
2019-09-09,0.0,4319.0,36.0,105.0,440.0,0.0,0.0,2.0,0.0
2019-09-10,0.0,4319.0,36.0,105.0,440.0,0.0,0.0,2.0,0.0
2019-09-11,0.0,4319.0,36.0,105.0,440.0,0.0,0.0,2.0,0.0
2019-09-12,0.0,4319.0,36.0,105.0,440.0,0.0,0.0,2.0,0.0
2019-09-13,0.0,4319.0,36.0,105.0,440.0,0.0,0.0,2.0,0.0
2019-09-14,0.0,4319.0,36.0,105.0,440.0,0.0,0.0,2.0,0.0
2019-09-15,0.0,4319.0,36.0,105.0,440.0,0.0,0.0,2.0,0.0
2019-09-16,0.0,4319.0,36.0,105.0,440.0,0.0,0.0,2.0,0.0
2019-09-17,0.0,4319.0,36.0,105.0,440.0,0.0,0.0,2.0,0.0
2019-09-18,0.0,4319.0,36.0,105.0,440.0,0.0,0.0,2.0,0.0
2019-09-19,0.0,4319.0,36.0,105.0,440.0,0.0,0.0,2.0,0.0
2019-09-20,1.0,4320.0,36.0,105.0,440.0,3.0,2.0,3.0,1.0
2019-09-21,0.0,4320.0,36.0,105.0,440.0,0.0,0.0,3.0,0.0
2019-09-22,0.0,4320.0,36.0,105.0,440.0,0.0,0.0,3.0,0.0
2019-09-23,0.0,4320.0,36.0,105.0,440.0,0.0,0.0,3.0,0.0
2019-09-24,1.0,4321.0,36.0,105.0,440.0,2.0,2.0,2.0,1.0
2019-09-25,0.0,4321.0,36.0,105.0,440.0,0.0,0.0,2.0,0.0
2019-09-26,0.0,4321.0,36.0,105.0,440.0,0.0,0.0,2.0,0.0
2019-09-27,0.0,4321.0,36.0,105.0,440.0,0.0,0.0,2.0,0.0
2019-09-28,0.0,4321.0,36.0,105.0,440.0,0.0,0.0,2.0,0.0
2019-09-29,0.0,4321.0,36.0,105.0,440.0,0.0,0.0,2.0,0.0
2019-09-30,0.0,4321.0,36.0,105.0,440.0,0.0,0.0,2.0,0.0
2019-10-01,0.0,4321.0,36.0,105.0,440.0,0.0,0.0,2.0,0.0
2019-10-02,0.0,4321.0,36.0,105.0,440.0,0.0,0.0,2.0,0.0
2019-10-03,0.0,4321.0,36.0,105.0,440.0,0.0,0.0,2.0,0.0
2019-10-04,1.0,4322.0,35.0,104.0,440.0,2.0,2.0,2.0,1.0
2019-10-05,0.0,4322.0,35.0,104.0,440.0,0.0,0.0,2.0,0.0
2019-10-06,0.0,4322.0,35.0,104.0,440.0,0.0,0.0,2.0,0.0
2019-10-07,0.0,4322.0,35.0,104.0,440.0,0.0,0.0,2.0,0.0
2019-10-08,0.0,4322.0,35.0,104.0,440.0,0.0,0.0,2.0,0.0
2019-10-09,0.0,4322.0,35.0,104.0,440.0,0.0,0.0,2.0,0.0
2019-10-10,1.0,4323.0,35.0,104.0,440.0,2.0,1.0,2.0,1.0
2019-10-11,0.0,4323.0,35.0,104.0,440.0,0.0,0.0,2.0,0.0
2019-10-12,0.0,4323.0,35.0,104.0,440.0,0.0,0.0,2.0,0.0
2019-10-13,0.0,4323.0,35.0,104.0,440.0,0.0,0.0,2.0,0.0
2019-10-14,0.0,4323.0,35.0,104.0,440.0,0.0,0.0,2.0,0.0
2019-10-15,0.0,4323.0,35.0,104.0,440.0,0.0,0.0,2.0,0.0
2019-10-16,0.0,4323.0,35.0,104.0,440.0,0.0,0.0,2.0,0.0
2019-10-17,0.0,4323.0,35.0,104.0,440.0,0.0,0.0,2.0,0.0
2019-10-18,0.0,4323.0,35.0,104.0,440.0,0.0,0.0,2.0,0.0
2019-10-19,0.0,4323.0,35.0,104.0,440.0,0.0,0.0,2.0,0.0
2019-10-20,0.0,4323.0,35.0,104.0,440.0,0.0,0.0,2.0,0.0
2019-10-21,1.0,4324.0,35.0,104.0,438.0,1.0,1.0,1.0,1.0
2019-10-22,0.0,4324.0,35.0,104.0,438.0,0.0,0.0,1.0,0.0
2019-10-23,0.0,4324.0,35.0,104.0,438.0,0.0,0.0,1.0,0.0
2019-10-24,0.0,4324.0,35.0,104.0,438.0,0.0,0.0,1.0,0.0
2019-10-25,1.0,4325.0,35.0,103.0,438.0,2.0,1.0,2.0,1.0
2019-10-26,0.0,4325.0,35.0,103.0,438.0,0.0,0.0,2.0,0.0
2019-10-27,0.0,4325.0,35.0,103.0,438.0,0.0,0.0,2.0,0.0
2019-10-28,0.0,4325.0,35.0,103.0,438.0,0.0,0.0,2.0,0.0
2019-10-29,0.0,4325.0,35.0,103.0,438.0,0.0,0.0,2.0,0.0
2019-10-30,0.0,4325.0,35.0,103.0,438.0,0.0,0.0,2.0,0.0
2019-10-31,0.0,4325.0,35.0,103.0,438.0,0.0,0.0,2.0,0.0
2019-11-01,0.0,4325.0,35.0,103.0,438.0,0.0,0.0,2.0,0.0
2019-11-02,0.0,4325.0,35.0,103.0,438.0,0.0,0.0,2.0,0.0
2019-11-03,0.0,4325.0,35.0,103.0,438.0,0.0,0.0,2.0,0.0
2019-11-04,0.0,4325.0,35.0,103.0,438.0,0.0,0.0,2.0,0.0
2019-11-05,0.0,4325.0,35.0,103.0,438.0,0.0,0.0,2.0,0.0
2019-11-06,0.0,4325.0,35.0,103.0,438.0,0.0,0.0,2.0,0.0
2019-11-07,0.0,4325.0,35.0,103.0,438.0,0.0,0.0,2.0,0.0
2019-11-08,0.0,4325.0,35.0,103.0,438.0,0.0,0.0,2.0,0.0
2019-11-09,0.0,4325.0,35.0,103.0,438.0,0.0,0.0,2.0,0.0
2019-11-10,0.0,4325.0,35.0,103.0,438.0,0.0,0.0,2.0,0.0
2019-11-11,1.0,4326.0,35.0,103.0,438.0,2.0,2.0,2.0,1.0
2019-11-12,0.0,4326.0,35.0,103.0,438.0,0.0,0.0,2.0,0.0
2019-11-13,0.0,4326.0,35.0,103.0,438.0,0.0,0.0,2.0,0.0
2019-11-14,0.0,4326.0,35.0,103.0,438.0,0.0,0.0,2.0,0.0
2019-11-15,0.0,4326.0,35.0,103.0,438.0,0.0,0.0,2.0,0.0
2019-11-16,0.0,4326.0,35.0,103.0,438.0,0.0,0.0,2.0,0.0
2019-11-17,0.0,4326.0,35.0,103.0,438.0,0.0,0.0,2.0,0.0
2019-11-18,0.0,4326.0,35.0,103.0,438.0,0.0,0.0,2.0,0.0
2019-11-19,0.0,4326.0,35.0,103.0,438.0,0.0,0.0,2.0,0.0
2019-11-20,0.0,4326.0,35.0,103.0,438.0,0.0,0.0,2.0,0.0
2019-11-21,0.0,4326.0,35.0,103.0,438.0,0.0,0.0,2.0,0.0
2019-11-22,0.0,4326.0,35.0,103.0,438.0,0.0,0.0,2.0,0.0
2019-11-23,0.0,4326.0,35.0,103.0,438.0,0.0,0.0,2.0,0.0
2019-11-24,0.0,4326.0,35.0,103.0,438.0,0.0,0.0,2.0,0.0
2019-11-25,0.0,4326.0,35.0,103.0,438.0,0.0,0.0,2.0,0.0
2019-11-26,1.0,4327.0,34.0,102.0,438.0,3.0,2.0,3.0,1.0
2019-11-27,0.0,4327.0,34.0,102.0,438.0,0.0,0.0,3.0,0.0
2019-11-28,0.0,4327.0,34.0,102.0,438.0,0.0,0.0,3.0,0.0
2019-11-29,0.0,4327.0,34.0,102.0,438.0,0.0,0.0,3.0,0.0
2019-11-30,0.0,4327.0,34.0,102.0,438.0,0.0,0.0,3.0,0.0
2019-12-01,0.0,4327.0,34.0,102.0,438.0,0.0,0.0,3.0,0.0
2019-12-02,0.0,4327.0,34.0,102.0,438.0,0.0,0.0,3.0,0.0
2019-12-03,0.0,4327.0,34.0,102.0,438.0,0.0,0.0,3.0,0.0
2019-12-04,1.0,4328.0,33.0,102.0,438.0,4.0,2.0,4.0,1.0
2019-12-05,2.0,4330.0,34.0,102.0,439.0,4.0,2.0,2.0,1.0
2019-12-06,0.0,4330.0,34.0,102.0,439.0,0.0,0.0,2.0,0.0
2019-12-07,0.0,4330.0,34.0,102.0,439.0,0.0,0.0,2.0,0.0
2019-12-08,0.0,4330.0,34.0,102.0,439.0,0.0,0.0,2.0,0.0
2019-12-09,0.0,4330.0,34.0,102.0,439.0,0.0,0.0,2.0,0.0
2019-12-10,0.0,4330.0,34.0,102.0,439.0,0.0,0.0,2.0,0.0
2019-12-11,0.0,4330.0,34.0,102.0,439.0,0.0,0.0,2.0,0.0
2019-12-12,0.0,4330.0,34.0,102.0,439.0,0.0,0.0,2.0,0.0
2019-12-13,1.0,4331.0,34.0,102.0,437.0,2.0,2.0,2.0,1.0
2019-12-14,0.0,4331.0,34.0,102.0,437.0,0.0,0.0,2.0,0.0
2019-12-15,0.0,4331.0,34.0,102.0,437.0,0.0,0.0,2.0,0.0
2019-12-16,0.0,4331.0,34.0,102.0,437.0,0.0,0.0,2.0,0.0
2019-12-17,2.0,4333.0,35.0,103.0,438.0,4.0,2.0,2.0,1.0
2019-12-18,0.0,4333.0,35.0,103.0,438.0,0.0,0.0,2.0,0.0
2019-12-19,1.0,4334.0,35.0,103.0,438.0,2.0,2.0,2.0,1.0
2019-12-20,0.0,4334.0,35.0,103.0,438.0,0.0,0.0,2.0,0.0
2019-12-21,0.0,4334.0,35.0,103.0,438.0,0.0,0.0,2.0,0.0
2019-12-22,0.0,4334.0,35.0,103.0,438.0,0.0,0.0,2.0,0.0
2019-12-23,0.0,4334.0,35.0,103.0,438.0,0.0,0.0,2.0,0.0
2019-12-24,0.0,4334.0,35.0,103.0,438.0,0.0,0.0,2.0,0.0
2019-12-25,0.0,4334.0,35.0,103.0,438.0,0.0,0.0,2.0,0.0
2019-12-26,0.0,4334.0,35.0,103.0,438.0,0.0,0.0,2.0,0.0
2019-12-27,0.0,4334.0,35.0,103.0,438.0,0.0,0.0,2.0,0.0
2019-12-28,0.0,4334.0,35.0,103.0,438.0,0.0,0.0,2.0,0.0
2019-12-29,0.0,4334.0,35.0,103.0,438.0,0.0,0.0,2.0,0.0
2019-12-30,0.0,4334.0,35.0,103.0,438.0,0.0,0.0,2.0,0.0
2019-12-31,0.0,4334.0,35.0,103.0,438.0,0.0,0.0,2.0,0.0
2020-01-01,0.0,4334.0,35.0,103.0,438.0,0.0,0.0,2.0,0.0
2020-01-02,0.0,4334.0,35.0,103.0,438.0,0.0,0.0,2.0,0.0
2020-01-03,0.0,4334.0,35.0,103.0,438.0,0.0,0.0,2.0,0.0
2020-01-04,0.0,4334.0,35.0,103.0,438.0,0.0,0.0,2.0,0.0
2020-01-05,0.0,4334.0,35.0,103.0,438.0,0.0,0.0,2.0,0.0
2020-01-06,0.0,4334.0,35.0,103.0,438.0,0.0,0.0,2.0,0.0
2020-01-07,0.0,4334.0,35.0,103.0,438.0,0.0,0.0,2.0,0.0
2020-01-08,0.0,4334.0,35.0,103.0,438.0,0.0,0.0,2.0,0.0
2020-01-09,0.0,4334.0,35.0,103.0,438.0,0.0,0.0,2.0,0.0
2020-01-10,0.0,4334.0,35.0,103.0,438.0,0.0,0.0,2.0,0.0
2020-01-11,0.0,4334.0,35.0,103.0,438.0,0.0,0.0,2.0,0.0
2020-01-12,0.0,4334.0,35.0,103.0,438.0,0.0,0.0,2.0,0.0
2020-01-13,0.0,4334.0,35.0,103.0,438.0,0.0,0.0,2.0,0.0
2020-01-14,0.0,4334.0,35.0,103.0,438.0,0.0,0.0,2.0,0.0
2020-01-15,0.0,4334.0,35.0,103.0,438.0,0.0,0.0,2.0,0.0
2020-01-16,1.0,4335.0,35.0,103.0,438.0,2.0,2.0,2.0,1.0
2020-01-17,0.0,4335.0,35.0,103.0,438.0,0.0,0.0,2.0,0.0
2020-01-18,0.0,4335.0,35.0,103.0,438.0,0.0,0.0,2.0,0.0
2020-01-19,0.0,4335.0,35.0,103.0,438.0,0.0,0.0,2.0,0.0
2020-01-20,0.0,4335.0,35.0,103.0,438.0,0.0,0.0,2.0,0.0
2020-01-21,0.0,4335.0,35.0,103.0,438.0,0.0,0.0,2.0,0.0
2020-01-22,0.0,4335.0,35.0,103.0,438.0,0.0,0.0,2.0,0.0
2020-01-23,1.0,4336.0,35.0,103.0,438.0,3.0,2.0,3.0,1.0
2020-01-24,0.0,4336.0,35.0,103.0,438.0,0.0,0.0,3.0,0.0
2020-01-25,0.0,4336.0,35.0,103.0,438.0,0.0,0.0,3.0,0.0
2020-01-26,0.0,4336.0,35.0,103.0,438.0,0.0,0.0,3.0,0.0
2020-01-27,0.0,4336.0,35.0,103.0,438.0,0.0,0.0,3.0,0.0
2020-01-28,2.0,4338.0,36.0,104.0,439.0,3.0,2.0,1.5,1.0
2020-01-29,0.0,4338.0,36.0,104.0,439.0,0.0,0.0,1.5,0.0
2020-01-30,0.0,4338.0,36.0,104.0,439.0,0.0,0.0,1.5,0.0
2020-01-31,0.0,4338.0,36.0,104.0,439.0,0.0,0.0,1.5,0.0
2020-02-01,0.0,4338.0,36.0,104.0,439.0,0.0,0.0,1.5,0.0
2020-02-02,0.0,4338.0,36.0,104.0,439.0,0.0,0.0,1.5,0.0
2020-02-03,0.0,4338.0,36.0,104.0,439.0,0.0,0.0,1.5,0.0
2020-02-04,0.0,4338.0,36.0,104.0,439.0,0.0,0.0,1.5,0.0
2020-02-05,0.0,4338.0,36.0,104.0,439.0,0.0,0.0,1.5,0.0
2020-02-06,0.0,4338.0,36.0,104.0,439.0,0.0,0.0,1.5,0.0
2020-02-07,0.0,4338.0,36.0,104.0,439.0,0.0,0.0,1.5,0.0
2020-02-08,0.0,4338.0,36.0,104.0,439.0,0.0,0.0,1.5,0.0
2020-02-09,0.0,4338.0,36.0,104.0,439.0,0.0,0.0,1.5,0.0
2020-02-10,0.0,4338.0,36.0,104.0,439.0,0.0,0.0,1.5,0.0
2020-02-11,0.0,4338.0,36.0,104.0,439.0,0.0,0.0,1.5,0.0
2020-02-12,1.0,4339.0,36.0,104.0,439.0,3.0,2.0,3.0,1.0
2020-02-13,0.0,4339.0,36.0,104.0,439.0,0.0,0.0,3.0,0.0
2020-02-14,0.0,4339.0,36.0,104.0,439.0,0.0,0.0,3.0,0.0
2020-02-15,0.0,4339.0,36.0,104.0,439.0,0.0,0.0,3.0,0.0
2020-02-16,0.0,4339.0,36.0,104.0,439.0,0.0,0.0,3.0,0.0
2020-02-17,0.0,4339.0,36.0,104.0,439.0,0.0,0.0,3.0,0.0
2020-02-18,1.0,4340.0,36.0,104.0,439.0,2.0,2.0,2.0,1.0
2020-02-19,0.0,4340.0,36.0,104.0,439.0,0.0,0.0,2.0,0.0
2020-02-20,0.0,4340.0,36.0,104.0,439.0,0.0,0.0,2.0,0.0
2020-02-21,0.0,4340.0,36.0,104.0,439.0,0.0,0.0,2.0,0.0
2020-02-22,0.0,4340.0,36.0,104.0,439.0,0.0,0.0,2.0,0.0
